timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626167800652,3227,登录,200,,线程组 1-56,text,false,"操作持续太长时间：他花费了3,227毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,3227,0,0
1626167800654,3225,登录,200,,线程组 1-55,text,false,"操作持续太长时间：他花费了3,225毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,3225,0,0
1626167800651,3228,登录,200,,线程组 1-20,text,false,"操作持续太长时间：他花费了3,228毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,3228,0,0
1626167802156,1723,登录,200,,线程组 1-58,text,false,"操作持续太长时间：他花费了1,723毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1723,0,0
1626167800652,3228,登录,200,,线程组 1-29,text,false,"操作持续太长时间：他花费了3,228毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,3228,0,0
1626167802155,1724,登录,200,,线程组 1-99,text,false,"操作持续太长时间：他花费了1,724毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1724,0,0
1626167800652,3228,登录,200,,线程组 1-2,text,false,"操作持续太长时间：他花费了3,228毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,3228,0,0
1626167802155,1724,登录,200,,线程组 1-65,text,false,"操作持续太长时间：他花费了1,724毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1724,0,0
1626167800654,3226,登录,200,,线程组 1-91,text,false,"操作持续太长时间：他花费了3,226毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,3226,0,0
1626167802587,1294,登录,200,,线程组 1-92,text,false,"操作持续太长时间：他花费了1,294毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1294,0,0
